id,wd,ovbd,od,mud,sh,lithol,interc,d0,d6,d12,d18,d24,d36,d48,d60,d72,d96,d120,d144
94,1000,4000,14.75,10,50,0,0.5,-0.000495805,-0.004707175,-0.006142634,-0.007243978,-0.008179865,-0.009776668,-0.011159014,-0.012412559,-0.013580021,-0.015743199,-0.017751185,-0.019651497
95,1000,4000,14.75,12,50,0,0.5,-0.000347638,-0.001542838,-0.001910258,-0.002184887,-0.002415239,-0.00280354,-0.003138401,-0.003441049,-0.003723279,-0.00424574,-0.004732024,-0.005191704
96,1000,4000,14.75,14,50,0,0.5,-0.000199471,-0.000376148,-0.000434182,-0.000479114,-0.000514177,-0.000574723,-0.000628484,-0.0006807,-0.00072346,-0.000813008,-0.00089408,-0.000970358
97,1000,4000,12.25,10,50,0,0.5,-0.000411803,-0.003913802,-0.005109207,-0.00602698,-0.006807318,-0.008139598,-0.009293958,-0.010341377,-0.011317447,-0.013127355,-0.014809129,-0.016401943
98,1000,4000,12.25,12,50,0,0.5,-0.000288739,-0.001282268,-0.00158607,-0.001815508,-0.002007725,-0.00233066,-0.002608586,-0.002860548,-0.003095487,-0.003531297,-0.003936302,-0.004318982
99,1000,4000,12.25,14,50,0,0.5,-0.000165675,-0.000313614,-0.000364541,-0.000395635,-0.000426251,-0.000477211,-0.000521776,-0.000562969,-0.000601724,-0.00067483,-0.000741386,-0.000802904
100,2000,4000,17.5,10,50,0,0.5,-0.00056226,-0.004383672,-0.005640891,-0.00659519,-0.00740005,-0.008760868,-0.009926813,-0.010974178,-0.011941733,-0.013717299,-0.015352463,-0.016891699
101,2000,4000,17.5,12,50,0,0.5,-0.00035168,-0.001101684,-0.001323547,-0.001487629,-0.001623932,-0.00185107,-0.002043031,-0.002216958,-0.002376955,-0.00267236,-0.002945221,-0.003202302
102,2000,4000,17.5,14,50,0,0.5,-0.0001411,-0.00016636,-0.000179295,-0.000189421,-0.000199219,-0.000214953,-0.00022979,-0.00024461,-0.000257181,-0.000282031,-0.000304809,-0.000326126
103,2000,4000,14.75,10,50,0,0.5,-0.000473954,-0.003700543,-0.0047632,-0.005570391,-0.006251568,-0.007404056,-0.008392365,-0.009281063,-0.010101964,-0.011610255,-0.013000197,-0.014311361
104,2000,4000,14.75,12,50,0,0.5,-0.000296447,-0.000929333,-0.001116317,-0.001254677,-0.001369606,-0.001561351,-0.001724094,-0.001870187,-0.002005528,-0.002254933,-0.002485333,-0.002702662
105,2000,4000,14.75,14,50,0,0.5,-0.00011894,-0.000140424,-0.000150909,-0.000159535,-0.000167104,-0.000180853,-0.000194378,-0.000205521,-0.000216752,-0.000237637,-0.000256605,-0.000274694
106,2000,4000,12.25,10,50,0,0.5,-0.000393654,-0.003075053,-0.003960813,-0.004634381,-0.005201351,-0.006162892,-0.006988579,-0.007730413,-0.008416008,-0.009674138,-0.010837453,-0.011932126
107,2000,4000,12.25,12,50,0,0.5,-0.000246221,-0.000773839,-0.000928379,-0.001043393,-0.001138835,-0.001299365,-0.001434,-0.001555317,-0.001667925,-0.001875203,-0.002065537,-0.002246766
108,2000,4000,12.25,14,50,0,0.5,-9.88E-05,-0.000117002,-0.000125901,-0.00013306,-0.000139248,-0.000150785,-0.000161216,-0.000171563,-0.000180353,-0.000197579,-0.000213595,-0.000228494
109,0,500,17.5,10,50,0,2.75,-8.27E-05,-8.27E-05,-8.28E-05,-8.28E-05,-8.29E-05,-8.30E-05,-8.31E-05,-8.32E-05,-8.33E-05,-8.34E-05,-8.36E-05,-8.38E-05
110,0,500,17.5,12,50,0,2.75,-6.36E-05,-6.36E-05,-6.36E-05,-6.36E-05,-6.36E-05,-6.37E-05,-6.37E-05,-6.38E-05,-6.38E-05,-6.39E-05,-6.40E-05,-6.40E-05
111,0,500,17.5,14,50,0,2.75,-4.44E-05,-4.44E-05,-4.44E-05,-4.44E-05,-4.44E-05,-4.44E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.46E-05
112,0,500,14.75,10,50,0,2.75,-6.97E-05,-6.97E-05,-6.98E-05,-6.98E-05,-6.99E-05,-6.99E-05,-7.00E-05,-7.01E-05,-7.02E-05,-7.03E-05,-7.05E-05,-7.07E-05
113,0,500,14.75,12,50,0,2.75,-5.36E-05,-5.36E-05,-5.36E-05,-5.36E-05,-5.36E-05,-5.37E-05,-5.37E-05,-5.37E-05,-5.38E-05,-5.38E-05,-5.39E-05,-5.40E-05
114,0,500,14.75,14,50,0,2.75,-3.74E-05,-3.74E-05,-3.74E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.75E-05,-3.76E-05
115,0,500,12.25,10,50,0,2.75,-5.79E-05,-5.79E-05,-5.80E-05,-5.80E-05,-5.80E-05,-5.81E-05,-5.82E-05,-5.82E-05,-5.83E-05,-5.84E-05,-5.85E-05,-5.87E-05
116,0,500,12.25,12,50,0,2.75,-4.45E-05,-4.45E-05,-4.45E-05,-4.45E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.46E-05,-4.47E-05,-4.47E-05,-4.48E-05,-4.48E-05
117,0,500,12.25,14,50,0,2.75,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.11E-05,-3.12E-05,-3.12E-05,-3.12E-05
118,1000,500,17.5,10,50,0,2.75,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.68E-05,-5.69E-05,-5.69E-05,-5.69E-05
119,1000,500,17.5,12,50,0,2.75,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06,-2.83E-06
121,1000,500,14.75,10,50,0,2.75,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.79E-05,-4.80E-05,-4.80E-05
122,1000,500,14.75,12,50,0,2.75,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06,-2.38E-06
124,1000,500,12.25,10,50,0,2.75,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05
125,1000,500,12.25,12,50,0,2.75,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06,-1.98E-06
127,2000,500,17.5,10,50,0,2.75,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05
130,2000,500,14.75,10,50,0,2.75,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05,-2.60E-05
133,2000,500,12.25,10,50,0,2.75,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05
136,0,1666.666667,17.5,10,50,0,2.75,-0.000259817,-0.000364843,-0.000402094,-0.000428662,-0.000449875,-0.000483936,-0.000511857,-0.000534747,-0.00055519,-0.000591603,-0.000621801,-0.000649123
137,0,1666.666667,17.5,12,50,0,2.75,-0.000200065,-0.000234411,-0.000250085,-0.000261587,-0.000270709,-0.000285324,-0.000297658,-0.00030782,-0.000316787,-0.000332822,-0.000346757,-0.00035884
138,0,1666.666667,17.5,14,50,0,2.75,-0.000140314,-0.000145912,-0.000149421,-0.000152463,-0.000155476,-0.00015954,-0.000163297,-0.000167056,-0.000169813,-0.000175352,-0.000180347,-0.000184863
139,0,1666.666667,14.75,10,50,0,2.75,-0.000219011,-0.000307498,-0.000338961,-0.000362543,-0.000379945,-0.000408031,-0.000430812,-0.000450974,-0.000467934,-0.000498577,-0.00052406,-0.000547087
140,0,1666.666667,14.75,12,50,0,2.75,-0.000168644,-0.000198029,-0.000211229,-0.00022075,-0.000228116,-0.000240667,-0.000250944,-0.000259508,-0.000267061,-0.000280559,-0.000292287,-0.000302475
141,0,1666.666667,14.75,14,50,0,2.75,-0.000118277,-0.000122901,-0.000125914,-0.000128507,-0.00013108,-0.000134506,-0.000137669,-0.000140837,-0.000143151,-0.000147832,-0.000152082,-0.000155951
142,0,1666.666667,12.25,10,50,0,2.75,-0.000181905,-0.000256919,-0.000282156,-0.000300589,-0.00031579,-0.000339018,-0.00035795,-0.00037471,-0.000388804,-0.000414331,-0.00043558,-0.000454776
143,0,1666.666667,12.25,12,50,0,2.75,-0.000140071,-0.000164836,-0.000175221,-0.000182922,-0.000189162,-0.000201097,-0.000209126,-0.000216121,-0.000222396,-0.000233641,-0.000243451,-0.000251978
144,0,1666.666667,12.25,14,50,0,2.75,-9.82E-05,-0.00010178,-0.000104577,-0.000106715,-0.000108649,-0.000112,-0.000114733,-0.000117443,-0.000119403,-0.000123417,-0.000126863,-0.000130092
